"Date","Price","Open","High","Low","Vol.","Change %"
"01-01-1998","963.45","1,078.95","1,102.15","929.05","754.33M","-10.74%"
"01-12-1997","1,079.40","1,023.85","1,083.35","943.00","892.27M","5.42%"
"01-11-1997","1,023.95","1,085.75","1,097.05","971.20","827.18M","-5.65%"
"01-10-1997","1,085.25","1,123.45","1,192.00","1,028.20","857.96M","-3.43%"
"01-09-1997","1,123.80","1,105.45","1,168.35","1,079.60","834.92M","1.70%"
"01-08-1997","1,105.00","1,224.40","1,297.10","1,098.90","869.89M","-9.54%"
"01-07-1997","1,221.50","1,201.30","1,252.70","1,153.75","1.15B","2.44%"
"01-06-1997","1,192.40","1,053.05","1,194.75","1,051.05","1.09B","13.46%"
"01-05-1997","1,050.90","1,074.70","1,074.70","1,018.15","742.97M","-2.68%"
"01-04-1997","1,079.85","931.95","1,088.40","931.50","701.60M","11.52%"
"01-03-1997","968.30","1,070.80","1,167.95","966.80","914.10M","-3.04%"
"01-02-1997","998.65","967.90","1,024.30","944.20","899.50M","2.67%"
"01-01-1997","972.65","905.20","1,085.75","905.20","1.13B","8.18%"
"01-12-1996","899.10","830.48","922.10","775.43","","8.28%"
"01-11-1996","830.32","910.32","915.39","822.17","","-8.68%"
"01-10-1996","909.29","944.51","956.45","850.52","","-3.67%"
"01-09-1996","943.96","1,028.91","1,046.51","932.27","","-8.26%"
"01-08-1996","1,029.00","1,047.47","1,054.29","968.76","","-1.32%"
"01-07-1996","1,042.81","1,121.00","1,127.13","999.03","","-7.06%"
"01-06-1996","1,122.00","1,098.18","1,203.11","1,098.18","","2.94%"
"01-05-1996","1,089.92","1,141.65","1,141.65","1,046.95","","-2.19%"
"01-04-1996","1,114.36","988.33","1,160.16","988.33","","13.10%"
"01-03-1996","985.30","994.66","1,010.50","945.07","","-0.73%"
"01-02-1996","992.51","848.28","1,067.49","848.28","","16.98%"
"01-01-1996","848.42","913.11","913.11","813.12","","-6.62%"
"01-12-1995","908.53","867.99","927.60","854.47","","5.39%"
